112749,15/12/1995,"Cry, the Beloved Country",Darrell Roodt,James Earl Jones,Richard Harris,Vusi Kunene,Charles S. Dutton,Tsholofelo Wechoemang,Dolly Rathebe,Ramolao Makhene,Jack Robinson,Jennifer Steyn,Patrick Ndlovu,James Earl Jones,Richard Harris,Vusi Kunene,Charles S. Dutton,Tsholofelo Wechoemang,Dolly Rathebe,Ramolao Makhene,Jack Robinson,Jennifer Steyn,Patrick Ndlovu
114279,29/12/1995,Richard III,Richard Loncraine,Christopher Bowen,Edward Jewesbury,Ian McKellen,Bill Paterson,Annette Bening,Matthew Groom,John Wood,Nigel Hawthorne,Maggie Smith,Kate Steavenson-Payne,Christopher Bowen,Edward Jewesbury,Ian McKellen,Bill Paterson,Annette Bening,Matthew Groom,John Wood,Nigel Hawthorne,Maggie Smith,Kate Steavenson-Payne
112819,06/10/1995,Dead Presidents,Albert Hughes,Larenz Tate,Keith David,Chris Tucker,Freddy Rodríguez,Rose Jackson,N'Bushe Wright,Alvaleta Guess,James Pickens Jr.,Jenifer Lewis,Clifton Powell,Larenz Tate,Keith David,Chris Tucker,Freddy Rodríguez,Rose Jackson,N'Bushe Wright,Alvaleta Guess,James Pickens Jr.,Jenifer Lewis,Clifton Powell
114272,29/12/1995,Restoration,Michael Hoffman,Robert Downey Jr.,Sam Neill,David Thewlis,Polly Walker,Meg Ryan,Ian McKellen,Hugh Grant,Ian McDiarmid,Mary MacLeod,Mark Letheren,Robert Downey Jr.,Sam Neill,David Thewlis,Polly Walker,Meg Ryan,Ian McKellen,Hugh Grant,Ian McDiarmid,Mary MacLeod,Mark Letheren
113855,18/08/1995,Mortal Kombat,Paul W.S. Anderson,Christopher Lambert,Robin Shou,Linden Ashby,Cary-Hiroyuki Tagawa,Bridgette Wilson-Sampras,Talisa Soto,Trevor Goddard,Chris Casamassa,François Petit,Keith Cooke,Christopher Lambert,Robin Shou,Linden Ashby,Cary-Hiroyuki Tagawa,Bridgette Wilson-Sampras,Talisa Soto,Trevor Goddard,Chris Casamassa,François Petit,Keith Cooke
114681,20/05/1995,To Die For,Gus Van Sant,Nicole Kidman,Matt Dillon,Joaquin Phoenix,Casey Affleck,Illeana Douglas,Alison Folland,Dan Hedaya,Wayne Knight,Kurtwood Smith,Holland Taylor,Nicole Kidman,Matt Dillon,Joaquin Phoenix,Casey Affleck,Illeana Douglas,Alison Folland,Dan Hedaya,Wayne Knight,Kurtwood Smith,Holland Taylor
113347,06/10/1995,How To Make An American Quilt,Jocelyn Moorhouse,Kaelynn Craddick,Sara Craddick,Kate Capshaw,Adam Baldwin,Winona Ryder,Dermot Mulroney,Ellen Burstyn,Anne Bancroft,Maya Angelou,Alfre Woodard,Kaelynn Craddick,Sara Craddick,Kate Capshaw,Adam Baldwin,Winona Ryder,Dermot Mulroney,Ellen Burstyn,Anne Bancroft,Maya Angelou,Alfre Woodard
114369,22/09/1995,Se7en,David Fincher,Morgan Freeman,Andrew Kevin Walker,Daniel Zacapa,Brad Pitt,Gwyneth Paltrow,John Cassini,Bob Mack,Peter Crombie,Reg E. Cathey,R. Lee Ermey,Morgan Freeman,Andrew Kevin Walker,Daniel Zacapa,Brad Pitt,Gwyneth Paltrow,John Cassini,Bob Mack,Peter Crombie,Reg E. Cathey,R. Lee Ermey
114148,14/06/1995,Pocahontas,Mike Gabriel,Joe Baker,Christian Bale,Irene Bedard,Billy Connolly,James Apaumut Fall,Mel Gibson,Linda Hunt,John Kassir,Judy Kuhn,Danny Mann,Joe Baker,Christian Bale,Irene Bedard,Billy Connolly,James Apaumut Fall,Mel Gibson,Linda Hunt,John Kassir,Judy Kuhn,Danny Mann
114916,05/05/1995,When Night Is Falling,Patricia Rozema,Pascale Bussières,Rachael Crawford,Henry Czerny,David Fox,Don McKellar,Tracy Wright,Clare Coulter,Karyne Steben,Sarah Steben,Jonathan Potts,Pascale Bussières,Rachael Crawford,Henry Czerny,David Fox,Don McKellar,Tracy Wright,Clare Coulter,Karyne Steben,Sarah Steben,Jonathan Potts
114814,19/07/1995,The Usual Suspects,Bryan Singer,Stephen Baldwin,Gabriel Byrne,Benicio Del Toro,Kevin Pollak,Kevin Spacey,Chazz Palminteri,Pete Postlethwaite,Suzy Amis,Giancarlo Esposito,Dan Hedaya,Stephen Baldwin,Gabriel Byrne,Benicio Del Toro,Kevin Pollak,Kevin Spacey,Chazz Palminteri,Pete Postlethwaite,Suzy Amis,Giancarlo Esposito,Dan Hedaya
109950,22/11/1994,Guardian Angel,Richard W. Munchkin,Cynthia Rothrock,Daniel McVicar,Lydie Denier,Marshall R. Teague,Ken McLeod,John O'Leary,Anna Dalva,Robert Miano,Brian Brophy,Matthew Walker,Cynthia Rothrock,Daniel McVicar,Lydie Denier,Marshall R. Teague,Ken McLeod,John O'Leary,Anna Dalva,Robert Miano,Brian Brophy,Matthew Walker
113819,13/09/1995,Mighty Aphrodite,Woody Allen,Pamela Blair,Rene Ceballos,Elie Chaib,George De La Pena,Joanne DiMauro,Denise Faye,Marian Filali,Angelo Fraboni,Scott Fowler,Seth Gertsacov,Pamela Blair,Rene Ceballos,Elie Chaib,George De La Pena,Joanne DiMauro,Denise Faye,Marian Filali,Angelo Fraboni,Scott Fowler,Seth Gertsacov
110299,01/01/1994,Lamerica,Gianni Amelio,Enrico Lo Verso,Michele Placido,Piro Milkani,Carmelo Di Mazzarelli,Elida Janushi,Sefer Pema,Idajet Sejdia,Marieta Ljarja,Elina Ndreu,Ilir Ara,Enrico Lo Verso,Michele Placido,Piro Milkani,Carmelo Di Mazzarelli,Elida Janushi,Sefer Pema,Idajet Sejdia,Marieta Ljarja,Elina Ndreu,Ilir Ara
